,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text47,47,text47,157,274,6,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/EP6I23fSWQY/,Check Out Radioheads New Single Burn the Witch,-2,4,4,2,2,3,1,4,2
text76,76,text76,461,1239,59,5/2/2016,news,http://www.nytimes.com/2016/05/03/arts/dance/sergei-filin-of-bolshoi-ballet-discusses-his-work-and-a-2013-acid-attack.html?partner=rss&emc=rss,A Word With: Sergei Filin of Bolshoi Ballet Discusses His Work and a 2013 Acid Attack,-2,14,12,8,11,16,13,12,3
text17,17,text17,102,185,1,5/3/2016,news,http://www.cnn.com/2016/05/02/us/new-york-albany-bus-attack/index.html?eref=rss_topstories,Cops: Women fabricated racial attack,-1,5,2,0,0,4,2,2,1
text18,18,text18,117,199,1,5/3/2016,news,http://www.cnn.com/2016/05/03/asia/south-korea-fire-rescue/index.html?eref=rss_topstories,U.S. troops catch kids dropped from 4th floor of burning building,-1,4,4,1,6,6,2,6,2
text30,30,text30,165,324,11,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/amy-van-dyken-rouen-tsa-pat-down-olympian/index.html?eref=rss_topstories,Paraplegic ex-Olympian 'humiliated' after TSA pat-down,-1,0,3,0,1,3,4,6,3
text98,98,text98,184,338,8,2/24/2016,news,http://america.aljazeera.com/watch/shows/america-tonight/articles/2016/2/24/meet-the-invisible-victims-of-criminal-justice-children.html,Meet the invisible victims of criminal justice: Children,-1,5,13,3,8,7,9,7,4
text10,10,text10,85,125,2,5/2/2016,news,http://www.cnn.com/2016/05/02/world/whatsapp-suspended-brazil/index.html?eref=rss_topstories,Brazil blocks WhatsApp,0,1,0,0,0,1,1,5,1
text11,11,text11,24,25,2,5/2/2016,news,http://www.cnn.com/video/data/2.0/video/politics/2016/05/02/hillary-clinton-woman-card-moos-pkg-erin.cnn.html?eref=rss_topstories,Trump's 'woman card' remark leads to this ...,0,0,0,0,0,0,0,0,2
text32,32,text32,0,0,0,5/2/2016,news,http://www.cnn.com/video/data/2.0/video/us/2016/05/02/amy-schumer-instagram-backlash-pkg.wspa.html?eref=rss_topstories,Why this selfie with comedian sparked backlash,0,0,0,0,0,0,0,0,3
text36,36,text36,89,115,2,5/2/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/88nviZh-J5E/,See Taylor Swifts Tech-Inspired Met Gala Outfit,0,0,1,0,2,0,1,1,4
text49,49,text49,58,75,4,5/3/2016,news,http://www.slate.com/articles/podcasts/hang_up_and_listen/2016/05/slate_s_hang_up_and_listen_discusses_corporate_named_stadiums_and_what_journalists.html,How Many Sports Stadium Name Changes Is a Game Changer?,0,0,0,0,1,0,0,1,5
text58,58,text58,32,35,1,5/3/2016,news,http://www.nytimes.com/slideshow/2016/05/02/fashion/met-gala-red-carpet-dresses/s/index.html?partner=rss&emc=rss,Treading the Met Galas Red Carpet,0,0,0,0,0,0,0,1,6
text69,69,text69,26,27,1,5/3/2016,news,http://www.nytimes.com/video/nyregion/100000004381317/the-new-york-commute-in-the-1930s.html?partner=rss&emc=rss,The New York Commute in the 1930s,0,0,0,0,0,0,0,0,7
text79,79,text79,304,635,21,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/as-thousands-enter-europe-eu-flails-in-anti-smuggling-efforts1.html,"As thousands enter Europe, EU flails in anti-smuggling efforts",0,5,8,2,3,15,5,3,8
text2,2,text2,65,88,1,5/3/2016,news,http://www.wsj.com/articles/fiat-chryslers-u-s-auto-sales-rise-1462278637?mod=rss_whats_news_us,U.S. Auto Sales Back on Track in April,1,1,1,0,0,0,0,1,1
text15,15,text15,146,242,6,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/hillary-clinton-bernie-sanders-indiana-primary/index.html?eref=rss_topstories,Clinton campaign ready for upset,1,4,11,0,5,2,4,9,2
text44,44,text44,15,17,2,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/J0aPtq02zvE/,ISIS Kills Navy SEAL in Iraq,1,0,0,0,0,0,0,0,3
text80,80,text80,213,385,12,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/new-orleanians-see-tourism-bias-in-post-katrina-public-transport.html,New Orleanians see tourism bias in post-Katrina public transport,1,1,4,0,6,3,3,5,4
text6,6,text6,411,968,24,5/3/2016,news,http://feeds.foxnews.com/~r/foxnews/scitech/~3/5vg1x-gbtt4/buddhist-sculptures-discovered-in-ruins-ancient-shrine.html,Buddhist sculptures discovered in ruins of ancient shrine,2,3,12,3,8,8,10,10,1
text19,19,text19,409,1049,16,5/3/2016,news,http://www.cnn.com/2016/05/03/americas/missionaries-killed-jamaica/index.html?eref=rss_topstories,2 Americans found dead in Jamaica,2,10,22,6,9,15,13,13,2
text53,53,text53,23,27,1,5/3/2016,news,http://www.slate.com/articles/podcasts/lexicon_valley/2016/05/blaccent_is_there_such_a_thing_as_sounding_black.html,The Blaccent: What Does It Mean to Sound Black?,2,0,1,0,0,0,0,0,3
text54,54,text54,138,206,9,5/3/2016,news,http://www.slate.com/articles/video/video/2016/05/presidential_candidate_senator_bernie_sanders_has_a_unique_art_aesthetic.html,What Is the Bernie Sanders Aesthetic?,2,2,8,1,5,4,3,6,4
text84,84,text84,326,634,13,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/calendar-reform-leap-year.html,"Clock keeps ticking on calendar reform, as another leap year passes by",2,2,9,1,4,1,3,7,5
text35,35,text35,154,229,4,5/2/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/R3i-4XE-r3U/,Watch Mila Kunis and Christina Applegate Face Off in the Trailer for Bad Moms,3,6,7,2,5,5,1,9,1
text91,91,text91,268,575,6,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/us-china-draft-new-n-korea-sanctions.html,"US, China draft new N. Korea sanctions",3,8,13,3,2,9,5,8,2
text26,26,text26,92,152,2,5/3/2016,news,http://www.cnn.com/2016/05/03/foodanddrink/naked-restaurant-bunyadi-london/index.html?eref=rss_topstories,"32,000 sign up for naked eatery",4,1,1,1,1,0,2,3,1
text51,51,text51,47,60,5,5/3/2016,news,http://www.slate.com/articles/life/dear_prudence/2016/05/dear_prudence_live_chat_for_may_9_2016.html,Dear Prudence Live Chat,4,1,2,1,1,0,0,1,2
text88,88,text88,357,701,24,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/in-guatemala-shifts-in-health-care-strand-communities.html,"In Guatemala, shifts in health care strand communities",4,1,17,1,10,8,7,12,3
text41,41,text41,174,269,3,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/Xzbojn-12NQ/,The 5 Weirdest Things Celebs Brought to the Met Gala This Year,5,1,8,0,4,4,3,4,1
text64,64,text64,482,996,31,5/3/2016,news,http://www.nytimes.com/2016/05/03/world/middleeast/wartime-damascus-preserves-tenuous-air-of-normalcy.html?partner=rss&emc=rss,"Damascus Journal: On Streets of Syrias Capital, Even the Sweet Is Sour",5,13,27,3,13,19,11,16,2
text78,78,text78,238,489,11,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/elegy-for-a-website-where-native-voices-mattered.html,Elegy for a website where Native voices mattered,5,3,21,4,8,5,6,9,3
text34,34,text34,72,124,5,5/2/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/K7JjCp4Fddk/,Met Gala 2016: See Celebrities Walk the Red Carpet,6,1,7,0,3,1,1,5,1
text94,94,text94,275,558,7,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/judge-approves-nearly-1b-settlement-between-us-and-tribes.html,Judge approves nearly $1B settlement between US and tribes,6,6,17,6,4,8,7,7,2
text25,25,text25,216,444,8,5/3/2016,news,http://www.cnn.com/2016/05/03/sport/william-trubridge-breaks-two-freediving-world-records-irpt/index.html?eref=rss_topstories,"He plunges 407 ft., breaks 2 records",9,1,7,1,8,4,5,7,1
text7,7,text7,287,686,5,5/3/2016,news,http://feeds.foxnews.com/~r/foxnews/scitech/~3/p5lDv2LGwvQ/solar-plane-lands-in-arizona-on-latest-leg-around-world-flight.html,Solar plane lands in Arizona on latest leg of around the world flight,10,4,10,2,6,6,3,12,1
text8,8,text8,342,742,15,5/3/2016,news,http://feeds.foxnews.com/~r/foxnews/scitech/~3/81wXWnSwAAA/three-newly-discovered-earth-sized-planets-may-be-prime-spot-to-hunt-alien-life.html,Three newly discovered Earth-sized planets may be prime spot to hunt alien life,10,0,14,1,5,2,3,8,2
text38,38,text38,171,283,12,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/dY7nGHpjyqc/,If George R.R. Martin and J.R.R. Tolkien Had an Epic Rap Battle It Would Look Like This,10,5,6,2,3,4,2,3,3
text74,74,text74,255,633,12,5/3/2016,news,http://www.nytimes.com/2016/05/04/business/media/new-york-times-co-q1-earnings.html?partner=rss&emc=rss,New York Times Co. Reports Loss as Digital Subscriber Base Grows,10,2,5,2,1,3,4,12,4
text9,9,text9,138,228,3,5/2/2016,news,http://www.cnn.com/2016/05/02/us/ny-teen-chooses-school/index.html?eref=rss_topstories,All 8 Ivies accepted her. She chose ...,11,0,4,1,3,0,2,3,1
text72,72,text72,521,1018,19,5/3/2016,news,http://www.nytimes.com/2016/05/03/fashion/fashion-met-gala.html?partner=rss&emc=rss,Reviewing the Met Gala Runway: Manus vs. Machina,12,6,19,2,11,12,11,12,1
text14,14,text14,490,1292,24,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/carrier-video-indiana-trump-cruz-sanders/index.html?eref=rss_topstories,Candidates champion dubious workers,13,10,23,4,10,12,7,13,1
text67,67,text67,241,432,16,5/3/2016,news,http://www.nytimes.com/2016/05/04/world/what-in-the-world/brazil-erotic-theme-park.html?partner=rss&emc=rss,"What in the World: Brazil Ponders an Erotic Theme Park, With No Sex Allowed",13,1,6,1,4,1,2,9,2
text37,37,text37,105,199,4,5/2/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/LCU_ROMuPj8/,"All the Emotions of Leicester Winning the Premier League, as Shown By 3 Guys in a Pub",14,0,4,1,2,1,2,4,1
text100,100,text100,444,1064,12,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/sea-cucumbers-a-fragile-fading-source-of-income-for-sierra-leones-divers.html,"Sea cucumbers a fragile, fading source of income for Sierra Leones divers",14,1,30,3,10,4,7,13,2
text50,50,text50,547,1275,27,5/3/2016,news,http://www.slate.com/articles/technology/future_tense/2016/05/the_aviation_industry_is_starting_to_grapple_with_cybersecurity.html,Hacking Airplanes,16,6,23,6,9,10,5,20,1
text89,89,text89,394,957,16,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/hotspotting-pinpoints-low-income-areas-that-need-health-care-the-most.html,Hotspotting pinpoints low-income areas that need health care the most,18,1,24,1,14,8,5,18,1
text46,46,text46,137,218,4,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/V8nvywQR4sk/,Downtown Abbey Creator Adds New Show Doctor Thorne to Amazon Prime,19,1,10,0,5,2,1,7,1
text70,70,text70,486,1104,20,5/3/2016,news,http://www.nytimes.com/2016/05/03/nyregion/at-the-met-gala-minimalism-is-a-relative-term.html?partner=rss&emc=rss,"At the Met Gala, Minimalism Is a Relative Term",19,7,26,5,17,5,7,17,2
text20,20,text20,762,2069,84,5/3/2016,news,http://www.cnn.com/2016/05/03/opinions/grit-is-a-gift-of-age-duckworth/index.html?eref=rss_topstories,Opinion: Why millennials struggle,20,12,41,9,25,17,20,36,1
text77,77,text77,424,979,15,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/obama-weighs-republican-for-supreme-court.html,Nevada governor says he doesn't want Supreme Court consideration,20,15,38,5,8,16,10,18,2
text4,4,text4,419,1209,20,5/3/2016,news,http://feeds.foxnews.com/~r/foxnews/scitech/~3/uS6vhhznoFQ/these-3-alien-planets-around-tiny-sold-star-just-might-support-life.html,"These 3 alien planets around a tiny, cold star just might support life",21,4,18,4,7,8,3,13,1
text96,96,text96,267,526,4,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/obama-to-proceed-with-court-nominee-despite-republican-defiance.html,Obama to proceed with court nominee despite Republican defiance,21,7,22,3,6,5,2,12,2
text90,90,text90,638,1524,78,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/small-businesses-for-trump-just-get-somebody-different-in-there.html,Small businesses for Trump: Just get somebody different in there,23,13,43,12,22,16,18,25,1
text42,42,text42,325,671,28,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/0xCWNtvXbMc/,"Patton Oswalt Remembers His Wife, Michelle McNamara: She Steered Her Life With Joyous, Wicked Curiosity",25,6,10,3,14,9,6,11,1
text27,27,text27,318,750,31,5/3/2016,news,http://www.cnn.com/2016/05/03/entertainment/tony-awards-nominations-2016/index.html?eref=rss_topstories,Tonys: 'Hamilton' shatters record,27,5,10,4,8,4,8,11,1
text13,13,text13,1081,3409,113,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/indiana-primary-what-to-watch/index.html?eref=rss_topstories,Indiana primary: 5 things,31,24,57,9,19,22,22,37,1
text57,57,text57,412,951,18,5/3/2016,news,http://www.slate.com/articles/life/education/2016/05/malia_obama_s_gap_year_is_the_epitome_of_gap_years.html,Gap Years for Everyone?,34,3,29,1,11,4,4,16,1
text31,31,text31,687,1765,21,5/3/2016,news,http://www.cnn.com/2016/05/03/football/leicester-city-champions-reasons-premier-league/index.html?eref=rss_topstories,English soccer champs played for pizza,40,8,33,5,21,15,13,20,1
text75,75,text75,629,1668,43,5/2/2016,news,http://www.nytimes.com/2016/05/03/science/eugenia-cheng-math-how-to-bake-pi.html?partner=rss&emc=rss,Basics: Eugenia Cheng Makes Math a Piece of Cake,40,3,25,3,15,6,5,25,2
text62,62,text62,477,1320,26,5/3/2016,news,http://www.nytimes.com/2016/05/04/us/politics/indiana-primary-preview.html?partner=rss&emc=rss,What to Watch For in Indiana: Trump Seeks a Knockout Blow,41,7,25,3,11,8,7,15,1
text56,56,text56,683,1809,50,5/3/2016,news,http://www.slate.com/articles/health_and_science/science/2016/05/this_high_schooler_s_mini_brain_machine_could_teach_us_about_what_zika_does.html,The High Schooler Behind the Mini-Brain Generator,44,3,26,2,15,10,3,25,1
text66,66,text66,540,1264,19,5/3/2016,news,http://www.nytimes.com/2016/05/04/theater/hamilton-tony-nominations-record.html?partner=rss&emc=rss,Hamilton Makes History With 16 Tony Nominations,44,9,26,8,21,13,16,18,2
text86,86,text86,517,1413,53,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/the-disabled-models-of-new-york-fashion-week.html,The disabled models of New York Fashion Week,48,4,30,1,31,7,7,22,1
text71,71,text71,433,1009,35,5/3/2016,news,http://www.nytimes.com/2016/05/03/t-magazine/met-gala-sarah-jessica-parker-hamilton-look.html?partner=rss&emc=rss,The Story Behind Sarah Jessica Parkers Hamilton-Inspired Met Gala Look,56,2,24,2,21,5,4,13,1
