Text,Types,Tokens,Sentences,Article,Date,Category,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
5 worst right-wing moments of the week  Jeffrey Lord continues his Trump apology tour_2016-03-21_News.txt,366,696,39,5 worst right-wing moments of the week  Jeffrey Lord continues his Trump apology tour,16881,News,-1,5,22,5,10,6,2,10
6 Steps to Managing Payments for Your Business_2016-03-21_Business.txt,283,600,33,6 Steps to Managing Payments for Your Business,16881,Business,16,4,21,1,7,5,2,12
7 Things To Know About Buying The Right Olive Oil_2016-03-21_News.txt,474,1018,77,7 Things To Know About Buying The Right Olive Oil,16881,News,67,8,25,10,25,8,8,20
7 tips for raising startup capital from a founder whos been doing it for 18 years_2016-03-21_Business.txt,695,1698,117,7 tips for raising startup capital from a founder whos been doing it for 18 years,16881,Business,51,14,43,13,22,15,13,28
8 technologies the Pentagon is pursuing to make super soldiers_2016-03-21_Business.txt,47,54,4,8 technologies the Pentagon is pursuing to make super soldiers,16881,Business,1,1,2,0,1,4,1,4
9 questions about Cuba you were too embarrassed to ask_2016-03-21_News.txt,1033,3297,149,9 questions about Cuba you were too embarrassed to ask,16881,News,-11,53,56,22,26,56,41,34
90s Til Infinity Silk Still Delivers Satiny Sensual R B_2016-03-21_News.txt,381,787,43,90s Til Infinity Silk Still Delivers Satiny Sensual R B,16881,News,20,10,25,6,17,8,9,16
A 20-Year Journey to Gratitude Love and Resilience -- How My Mothers Murder Made Me a Better Man_2016-03-21_News.txt,644,1901,106,A 20-Year Journey to Gratitude Love and Resilience -- How My Mothers Murder Made Me a Better Man,16881,News,28,26,52,17,41,38,41,33
A Campus Outlier_2016-03-21_News.txt,17,20,2,A Campus Outlier,16881,News,-2,0,2,0,0,1,1,0
A Canadian model went to Syria to fight ISIS_2016-03-21_Business.txt,47,63,5,A Canadian model went to Syria to fight ISIS,16881,Business,-2,1,1,0,1,2,1,1
A fund manager nailed the problem with Valeant months ago_2016-03-21_Business.txt,255,494,22,A fund manager nailed the problem with Valeant months ago,16881,Business,5,4,11,4,3,4,4,10
A Lasting Legacy for Ambassador Christopher Stevens_2016-03-21_News.txt,352,722,28,A Lasting Legacy for Ambassador Christopher Stevens,16881,News,35,3,30,1,12,5,4,12
A look at the Arizona and Utah primaries_2016-03-21_Politics.txt,28,30,4,A look at the Arizona and Utah primaries,16881,Politics,-2,1,1,0,0,0,1,0
A migrant worker posted a tearful video about his life in Saudi Arabia. Then things got worse._2016-03-21_News.txt,297,607,31,A migrant worker posted a tearful video about his life in Saudi Arabia. Then things got worse.,16881,News,-32,12,16,6,10,16,11,11
A reporters journal_2016-03-20_News.txt,515,1342,121,A reporters journal,16880,News,-25,14,27,7,20,20,24,19
A teenage girl who escaped Syria might swim in the Olympics_2016-03-21_Business.txt,34,35,3,A teenage girl who escaped Syria might swim in the Olympics,16881,Business,2,0,1,0,1,1,0,1
A-Sides with Jon Chattman  Open  Season  for St. Louis Rapper J.R.  Max Frost Heats Up with New EP Tour_2016-03-21_News.txt,344,666,51,A-Sides with Jon Chattman  Open  Season  for St. Louis Rapper J.R.  Max Frost Heats Up with New EP Tour,16881,News,18,4,11,1,14,5,3,13
Actress  Penn misled me on El Chapo_2016-03-20_News.txt,428,1037,68,Actress  Penn misled me on El Chapo,16880,News,28,7,18,9,8,10,6,16
Actual Cat Burglar Caught With Mens Underwear_2016-03-21_News.txt,88,111,4,Actual Cat Burglar Caught With Mens Underwear,16881,News,0,0,0,0,1,1,1,0
Afridi to be sacked as captain after World T20 says PCB chief_2016-03-21_News.txt,272,636,32,Afridi to be sacked as captain after World T20 says PCB chief,16881,News,21,2,13,1,3,4,3,6
After Funeral and Cremation a Shock  The Woman in the Coffin Wasnt Mom_2016-03-21_News.txt,426,1093,79,After Funeral and Cremation a Shock  The Woman in the Coffin Wasnt Mom,16881,News,-11,4,20,4,10,11,15,12
After Years Of Cheating Rico Suave Singer Had A Wake-Up Call_2016-03-21_News.txt,168,312,23,After Years Of Cheating Rico Suave Singer Had A Wake-Up Call,16881,News,10,5,11,5,11,5,4,8
Against Empathy_2016-03-21_News.txt,51,60,3,Against Empathy,16881,News,-6,1,3,1,2,4,3,2
Against Liberal Schadenfreude_2016-03-12_Politics.txt,464,928,45,Against Liberal Schadenfreude,16872,Politics,-6,24,21,19,9,24,21,10
Ahead of Obamas visit Cuban diplomat OK with hearing criticism_2016-03-20_News.txt,126,213,14,Ahead of Obamas visit Cuban diplomat OK with hearing criticism,16880,News,9,2,11,1,6,5,0,8
Airbnb and American hotels arent wasting any time opening up in Cuba_2016-03-21_News.txt,175,301,15,Airbnb and American hotels arent wasting any time opening up in Cuba,16881,News,-5,1,5,2,1,2,3,2
Akron football player is shot by former teammate who thought he was a burglar_2016-03-21_News.txt,150,228,16,Akron football player is shot by former teammate who thought he was a burglar,16881,News,-4,6,7,4,2,9,5,5
Alchemist Accelerator  Why theres still lots of room for disruptive martech webinar_2016-03-21_Business.txt,308,637,47,Alchemist Accelerator  Why theres still lots of room for disruptive martech webinar,16881,Business,20,5,12,2,8,4,1,11
Alibaba Reaches 3 Trillion Yuan Milestone Even as China Slows_2016-03-21_Business.txt,285,482,23,Alibaba Reaches 3 Trillion Yuan Milestone Even as China Slows,16881,Business,-2,2,10,2,4,1,4,6
All about the Benjamins  By leaving early for NBA Ben Simmons doubles future money_2016-03-21_News.txt,209,414,23,All about the Benjamins  By leaving early for NBA Ben Simmons doubles future money,16881,News,-4,2,9,0,6,2,1,8
All Trust Is Lost  and Its Messing With Your Business_2016-03-21_Business.txt,383,796,44,All Trust Is Lost  and Its Messing With Your Business,16881,Business,-2,12,26,13,8,16,16,18
Almost half the world cooking as if it were the stone age WHO warns_2016-03-21_News.txt,363,883,47,Almost half the world cooking as if it were the stone age WHO warns,16881,News,-29,8,14,13,9,19,19,16
Amazon steps up D.C. lobbying  Apple preps for court  Zuckerberg meets with Chinas propaganda chief_2016-03-21_News.txt,176,282,10,Amazon steps up D.C. lobbying  Apple preps for court  Zuckerberg meets with Chinas propaganda chief,16881,News,-2,5,4,0,2,5,1,10
Americas First Ever Offshore Wind Farm Is Coming To Rhode Island_2016-03-21_News.txt,45,54,2,Americas First Ever Offshore Wind Farm Is Coming To Rhode Island,16881,News,-2,0,0,0,0,1,0,2
Ammon Bundy others plead not guilty in Oregon refuge case_2016-02-24_News.txt,232,343,21,Ammon Bundy others plead not guilty in Oregon refuge case,16855,News,-15,9,7,2,3,16,7,9
Amsterdam to be Jet Airways new European hub_2016-03-21_News.txt,154,293,11,Amsterdam to be Jet Airways new European hub,16881,News,7,0,5,0,0,3,0,3
Amy Schumer left a $1000 tip on a $77 bill for bartenders at the musical Hamilton_2016-03-21_Business.txt,153,328,15,Amy Schumer left a $1000 tip on a $77 bill for bartenders at the musical Hamilton,16881,Business,22,2,8,0,5,0,1,5
An expert reveals the right way to shuck an oyster_2016-03-21_Business.txt,45,51,5,An expert reveals the right way to shuck an oyster,16881,Business,5,0,4,0,3,0,0,3
Analysis  N.C.A.A. Favorites End a Few Charmed Runs_2016-03-21_News.txt,546,1100,61,Analysis  N.C.A.A. Favorites End a Few Charmed Runs,16881,News,-1,14,16,5,6,11,11,14
Angola cut spending for low oil prices and triggered a yellow fever health crisis_2016-03-21_News.txt,222,375,16,Angola cut spending for low oil prices and triggered a yellow fever health crisis,16881,News,-12,9,11,6,3,15,7,8
Anthony Davis is done for the season and it could be a good thing for the Pelicans_2016-03-21_Business.txt,251,499,23,Anthony Davis is done for the season and it could be a good thing for the Pelicans,16881,Business,1,7,13,2,6,10,12,14
Anti-Trump forces start eyeing possible third_2016-03-21_Politics.txt,274,496,21,Anti-Trump forces start eyeing possible third,16881,Politics,17,2,13,0,6,7,4,10
Apple iPhone event live updates  What were expecting to be revealed_2016-03-21_News.txt,66,91,6,Apple iPhone event live updates  What were expecting to be revealed,16881,News,1,2,1,1,1,3,0,4
APPLE PREVIEW  Small iPhone small iPad Pro and more AAPL_2016-03-21_Business.txt,32,33,3,APPLE PREVIEW  Small iPhone small iPad Pro and more AAPL,16881,Business,1,0,1,0,0,0,0,1
Apple privacy czars grapple with internal conflicts over user data_2016-03-21_Business.txt,561,1246,57,Apple privacy czars grapple with internal conflicts over user data,16881,Business,17,11,26,2,11,11,7,21
Apple starts a busy week with new iPhone launch_2016-03-21_News.txt,372,801,35,Apple starts a busy week with new iPhone launch,16881,News,23,4,8,2,7,6,7,14
Apples iPhone SE event  Everything you need to know plus how to watch live_2016-03-21_Business.txt,201,339,26,Apples iPhone SE event  Everything you need to know plus how to watch live,16881,Business,1,0,2,0,0,1,2,8
Apples patent fight with Samsung is heading to the Supreme Court AAPL_2016-03-21_Business.txt,151,255,13,Apples patent fight with Samsung is heading to the Supreme Court AAPL,16881,Business,1,4,6,0,1,5,2,5
Apples Trio of Privacy Czars Grapple With Internal Conflicts Over User Data_2016-03-21_Business.txt,561,1244,55,Apples Trio of Privacy Czars Grapple With Internal Conflicts Over User Data,16881,Business,17,11,25,2,11,11,7,21
April Is Confederate Heritage Month In Mississippi. Heres What State Educators Are Saying About It._2016-03-21_Politics.txt,636,1819,74,April Is Confederate Heritage Month In Mississippi. Heres What State Educators Are Saying About It.,16881,Politics,-1,26,40,12,21,20,22,22
Are You Ready for a Glorious Sunset _2016-02-25_Business.txt,93,121,10,Are You Ready for a Glorious Sunset ,16856,Business,4,1,4,0,3,2,0,7
As Coals Future Grows Murkier Banks Pull Financing_2016-03-21_News.txt,530,1219,58,As Coals Future Grows Murkier Banks Pull Financing,16881,News,2,11,27,9,7,17,13,15
As thousands enter Europe EU flails in anti-smuggling efforts_2016-02-25_News.txt,278,537,28,As thousands enter Europe EU flails in anti-smuggling efforts,16856,News,0,5,8,2,3,15,5,3
Ask Not What Your Podcast Can Do for You_2016-02-25_Business.txt,1374,7081,492,Ask Not What Your Podcast Can Do for You,16856,Business,94,27,78,17,48,41,41,64
ASK THE INSIDER  My coworkers loud eating noises are making me hate them  what should I do _2016-03-21_Business.txt,375,759,52,ASK THE INSIDER  My coworkers loud eating noises are making me hate them  what should I do ,16881,Business,-9,4,10,2,6,6,7,9
Author Tucker Max Trades Tons of Sex and Booze for Mixed Martial Arts Training_2016-03-21_Business.txt,144,212,14,Author Tucker Max Trades Tons of Sex and Booze for Mixed Martial Arts Training,16881,Business,2,4,7,2,5,4,5,8
Authorities are investigating a threatening letter sent to Donald Trumps sister_2016-03-21_Business.txt,97,157,11,Authorities are investigating a threatening letter sent to Donald Trumps sister,16881,Business,-4,3,4,1,1,3,1,5
Avengers actor Jeremy Renner says he would be open to doing a Hawkeye Netflix show_2016-03-21_Business.txt,176,301,23,Avengers actor Jeremy Renner says he would be open to doing a Hawkeye Netflix show,16881,Business,16,0,3,1,2,1,3,4
Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again - Salon_2016-03-21_News.txt,347,665,27,Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again - Salon,16881,News,-17,17,12,12,10,14,8,10
Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again_2016-03-21_News.txt,347,665,27,Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again,16881,News,-17,17,12,12,10,14,8,10
Backlash over thin #A4waist challenge_2016-03-21_News.txt,149,255,20,Backlash over thin #A4waist challenge,16881,News,0,2,5,2,3,2,1,2
Baseball  Chaminade Huntington Beach Mater Dei head to North Carolina this week_2016-03-21_News.txt,108,149,13,Baseball  Chaminade Huntington Beach Mater Dei head to North Carolina this week,16881,News,10,0,3,2,2,1,3,2
Basic travel information for visiting Mexico City_2016-03-21_News.txt,134,209,22,Basic travel information for visiting Mexico City,16881,News,11,0,4,0,4,1,1,3
Beer Is Coming to Select Burger King Locations in the U.K._2016-03-21_Business.txt,192,329,18,Beer Is Coming to Select Burger King Locations in the U.K.,16881,Business,25,3,9,0,7,0,3,7
Behind the music on Vinyl  This is why David Bowie cover bands are so rare_2016-03-21_News.txt,329,681,28,Behind the music on Vinyl  This is why David Bowie cover bands are so rare,16881,News,-1,5,13,3,5,10,10,7
Behind the Scenes of the Final Dancing With the Stars Rehearsals_2016-03-21_News.txt,208,330,22,Behind the Scenes of the Final Dancing With the Stars Rehearsals,16881,News,29,1,5,0,6,3,2,7
Beijing Journal  Breathing Life Into Spaces Well Beyond 6 Feet Under Beijings Streets_2016-03-21_News.txt,473,1011,53,Beijing Journal  Breathing Life Into Spaces Well Beyond 6 Feet Under Beijings Streets,16881,News,18,7,21,4,9,11,8,15
Beijing Warns of Historic Mistake if Loses Grip on New Media_2016-03-21_News.txt,344,628,28,Beijing Warns of Historic Mistake if Loses Grip on New Media,16881,News,2,5,17,5,6,9,5,12
Belgian Police Identify Suspected Accomplice Of Salah Abdeslam_2016-03-21_News.txt,256,527,22,Belgian Police Identify Suspected Accomplice Of Salah Abdeslam,16881,News,-19,6,13,3,5,14,6,6
Belgian Police Name Man Suspected of Being Salah Abdeslams Accomplice_2016-03-21_News.txt,314,648,32,Belgian Police Name Man Suspected of Being Salah Abdeslams Accomplice,16881,News,-14,6,14,4,6,8,7,8
Benin businessman takes strong lead in presidential election_2016-03-21_News.txt,225,354,17,Benin businessman takes strong lead in presidential election,16881,News,22,8,14,2,8,6,4,10
Beyond Marriage_2016-03-21_News.txt,536,1137,59,Beyond Marriage,16881,News,33,8,30,4,17,15,9,20
Bhagat Singh row  BJP attacks Shashi Tharoor_2016-03-21_News.txt,160,296,14,Bhagat Singh row  BJP attacks Shashi Tharoor,16881,News,-3,7,8,4,3,3,6,4
Bill Murray Cant Believe Xavier Lost on a Buzzer-Beater_2016-03-21_News.txt,160,259,15,Bill Murray Cant Believe Xavier Lost on a Buzzer-Beater,16881,News,-8,7,2,2,3,7,5,5
Bill Murray Stunned as Sons Team Xavier Loses at Buzzer_2016-03-21_News.txt,108,160,13,Bill Murray Stunned as Sons Team Xavier Loses at Buzzer,16881,News,-4,2,3,1,1,2,2,1
Bill Murray Was Sadness Personified After Wisconsin Won On Sunday_2016-03-21_News.txt,73,92,6,Bill Murray Was Sadness Personified After Wisconsin Won On Sunday,16881,News,10,1,5,1,2,1,0,3
Bill Murray was stunned by Xaviers last-second loss in the NCAA Tournament_2016-03-21_Business.txt,92,135,7,Bill Murray was stunned by Xaviers last-second loss in the NCAA Tournament,16881,Business,1,3,3,0,0,2,2,0
Billions  Billions Season 1 Episode 8  Bobby the Profiteer_2016-03-21_News.txt,494,991,45,Billions  Billions Season 1 Episode 8  Bobby the Profiteer,16881,News,-28,17,33,12,10,18,19,19
Black bears of Ohio return to natural habitat_2016-02-23_News.txt,477,1135,63,Black bears of Ohio return to natural habitat,16854,News,26,5,21,5,14,6,6,21
Boaty McBoatface  Man sorry for ship name suggestion_2016-03-21_News.txt,200,298,19,Boaty McBoatface  Man sorry for ship name suggestion,16881,News,0,4,10,1,7,6,5,11
Boaty McBoatface name may be overruled_2016-03-21_News.txt,280,532,34,Boaty McBoatface name may be overruled,16881,News,4,3,13,4,8,3,4,13
Bolivian voters nix  Morales plan for 4th term_2016-02-24_News.txt,226,395,19,Bolivian voters nix  Morales plan for 4th term,16855,News,-10,7,13,5,3,8,5,7
Bond Report  Treasurys snap 5-session rally but yields projected to stay low_2016-03-21_News.txt,253,452,19,Bond Report  Treasurys snap 5-session rally but yields projected to stay low,16881,News,3,3,9,1,2,2,5,5
Boss axed at controversy-hit Valeant_2016-03-21_News.txt,336,711,36,Boss axed at controversy-hit Valeant,16881,News,-8,7,21,6,8,10,10,13
Briefly Noted_2016-03-21_News.txt,306,488,19,Briefly Noted,16881,News,-6,11,16,9,9,16,9,11
British plane spotters ordered to pay fine or face jail in Kenya_2016-03-21_News.txt,132,192,11,British plane spotters ordered to pay fine or face jail in Kenya,16881,News,-5,3,2,1,1,4,3,5
Capitol Report  Sanders outraises Clinton as Trump lends his campaign more money_2016-03-21_News.txt,237,372,21,Capitol Report  Sanders outraises Clinton as Trump lends his campaign more money,16881,News,6,5,11,2,3,5,2,5
Captured Paris attacks suspect Salah Abdeslam will be worth his weight in gold to police_2016-03-21_Business.txt,238,449,27,Captured Paris attacks suspect Salah Abdeslam will be worth his weight in gold to police,16881,Business,-1,8,10,4,3,11,6,10
Cara Delevingne  more than a mere muse for male painters_2016-03-21_News.txt,339,673,38,Cara Delevingne  more than a mere muse for male painters,16881,News,12,6,11,5,17,6,4,13
Cartoons from the March 28 2016 Issue_2016-03-21_News.txt,16,24,3,Cartoons from the March 28 2016 Issue,16881,News,3,0,0,0,0,0,0,2
Case against Big B over National Anthem_2016-03-21_News.txt,94,136,7,Case against Big B over National Anthem,16881,News,2,1,7,0,4,1,1,1
Case Closed_2016-03-11_Politics.txt,308,633,43,Case Closed,16871,Politics,1,10,16,5,9,5,3,11
Castros welcome Obama with a slap in the face_2016-03-21_News.txt,491,1113,51,Castros welcome Obama with a slap in the face,16881,News,-14,13,29,10,18,17,10,24
CDC  1 in 2 black gay men in US will be diagnosed with HIV_2016-02-23_News.txt,207,439,29,CDC  1 in 2 black gay men in US will be diagnosed with HIV,16854,News,-8,4,8,3,5,10,8,12
Ceviche Poke Crudo Carpaccio  Your Guide To Raw Fish Dishes Around The World_2016-03-21_News.txt,480,1066,59,Ceviche Poke Crudo Carpaccio  Your Guide To Raw Fish Dishes Around The World,16881,News,22,2,14,2,11,6,4,10
Changing Their Minds On Cuba_2016-03-21_News.txt,490,1190,46,Changing Their Minds On Cuba,16881,News,21,14,34,7,16,17,18,18
Check Out the Macaronut the Macaron-Doughnut Mashup_2016-03-21_Business.txt,229,362,23,Check Out the Macaronut the Macaron-Doughnut Mashup,16881,Business,13,5,10,3,10,4,5,9
Chicago Fed   Index shows economic growth slowed in February _2016-03-21_Business.txt,113,244,14,Chicago Fed   Index shows economic growth slowed in February ,16881,Business,-1,0,6,1,1,0,3,3
China isnt happy about the US latest deal with the Philippines in the South China Sea_2016-03-21_Business.txt,144,236,11,China isnt happy about the US latest deal with the Philippines in the South China Sea,16881,Business,14,0,9,0,4,2,0,3
China Shandong illegal vaccine scandal sparks anger - BBC News_2016-03-21_News.txt,265,499,27,China Shandong illegal vaccine scandal sparks anger - BBC News,16881,News,-38,10,12,8,5,16,15,6
China Warns  Beware American Motives_2016-03-21_News.txt,375,705,41,China Warns  Beware American Motives,16881,News,-1,8,21,4,7,11,5,14
Chinas advice to Cuba  Good luck but beware of American motives_2016-03-21_News.txt,375,705,41,Chinas advice to Cuba  Good luck but beware of American motives,16881,News,-1,8,21,4,7,11,5,14
Chinese authorities recover $48 million worth of smuggled python skin_2016-03-21_News.txt,280,495,25,Chinese authorities recover $48 million worth of smuggled python skin,16881,News,-15,10,12,6,5,16,6,7
Clayton Williams convicted of PC Dave Phillipss manslaughter - BBC News_2016-03-21_News.txt,372,868,51,Clayton Williams convicted of PC Dave Phillipss manslaughter - BBC News,16881,News,-43,20,24,8,10,26,23,10
Climate changing at unprecedented rate  UN_2016-03-21_News.txt,282,613,26,Climate changing at unprecedented rate  UN,16881,News,-9,2,6,1,3,8,3,8
Clinton  Distrust   verify with Iran_2016-03-21_Politics.txt,28,31,3,Clinton  Distrust   verify with Iran,16881,Politics,2,0,4,0,2,0,0,3
Clinton attacks Trumps qualifications in AIPAC address_2016-03-21_News.txt,372,664,37,Clinton attacks Trumps qualifications in AIPAC address,16881,News,-11,13,23,7,7,11,6,10
Clinton Backers Edit Trump Ad to Make Him the Punch Line_2016-03-17_Politics.txt,71,105,4,Clinton Backers Edit Trump Ad to Make Him the Punch Line,16877,Politics,11,1,5,0,2,0,0,0
Clinton brings 2016- fight to AIPAC stage takes shots at Trump on Israel_2016-03-21_Politics.txt,431,920,43,Clinton brings 2016- fight to AIPAC stage takes shots at Trump on Israel,16881,Politics,13,7,29,1,6,3,6,14
Clinton calls Trump dangerously wrong on Israel_2016-03-21_News.txt,347,677,34,Clinton calls Trump dangerously wrong on Israel,16881,News,-9,7,17,3,2,6,2,6
Clinton criticizes Trumps neutral stance on Israel_2016-03-21 2_News.txt,382,751,37,Clinton criticizes Trumps neutral stance on Israel,16881,News,-9,14,23,4,5,17,6,18
Clinton criticizes Trumps neutral stance on Israel_2016-03-21_News.txt,420,874,42,Clinton criticizes Trumps neutral stance on Israel,16881,News,-5,14,33,5,6,16,8,20
Clinton on Trump  Israels security is non-negotiable_2016-03-21_Politics.txt,615,1534,61,Clinton on Trump  Israels security is non-negotiable,16881,Politics,-6,26,38,12,13,28,17,24
Clinton pledges support for Israel_2016-03-21_Politics.txt,267,451,17,Clinton pledges support for Israel,16881,Politics,-2,2,18,1,8,8,3,13
Clinton slams Trump on Israel security_2016-03-21_News.txt,615,1534,61,Clinton slams Trump on Israel security,16881,News,-6,26,38,12,13,28,17,24
Clinton Slams Trump Over Israel-Palestine_2016-03-21_News.txt,217,337,18,Clinton Slams Trump Over Israel-Palestine,16881,News,-18,12,10,2,1,12,3,6
Clinton Targets Trump on Foreign Policy in AIPAC Speech_2016-03-21_News.txt,458,947,43,Clinton Targets Trump on Foreign Policy in AIPAC Speech,16881,News,4,13,26,5,11,19,11,15
Clinton White House passed up pardon for Chelseas father-in-law_2016-02-03_Politics.txt,700,1629,84,Clinton White House passed up pardon for Chelseas father-in-law,16834,Politics,-14,26,49,17,16,23,28,32
Clock keeps ticking on calendar reform as another leap year passes by_2016-02-25_News.txt,301,523,24,Clock keeps ticking on calendar reform as another leap year passes by,16856,News,2,2,9,1,4,1,3,7
Combining 2 therapies could pack a one-two punch to beat cancer_2016-03-21_Business.txt,418,1071,57,Combining 2 therapies could pack a one-two punch to beat cancer,16881,Business,13,17,12,11,7,22,15,15
Coming up  Obama Castro speak from Cuba_2016-03-21_Politics.txt,26,31,3,Coming up  Obama Castro speak from Cuba,16881,Politics,0,0,2,0,1,0,0,0
Coming up  President Obama in Cuba_2016-03-21_Politics.txt,14,15,3,Coming up  President Obama in Cuba,16881,Politics,0,0,0,0,0,0,0,0
Comment from the March 28 2016 Issue_2016-03-21_News.txt,0,0,0,Comment from the March 28 2016 Issue,16881,News,0,0,0,0,0,0,0,0
Congos Jean-Pierre Bemba Guilty of Crimes Against Humanity_2016-03-21_News.txt,244,475,23,Congos Jean-Pierre Bemba Guilty of Crimes Against Humanity,16881,News,-27,20,13,6,7,27,10,12
Conservative S.E. Cupp on Trump  Thats not a dog-whistle you hear those are dog screams_2016-03-21_News.txt,107,162,9,Conservative S.E. Cupp on Trump  Thats not a dog-whistle you hear those are dog screams,16881,News,-7,3,4,3,2,2,0,2
Content Marketers Need to Act Like Publishers_2016-03-21_Business.txt,488,1128,77,Content Marketers Need to Act Like Publishers,16881,Business,57,3,30,3,18,9,4,22
Contributing Op-Ed Writer  The Long Shadow of Argentinas Dictatorship_2016-03-21_News.txt,495,965,48,Contributing Op-Ed Writer  The Long Shadow of Argentinas Dictatorship,16881,News,-15,15,34,12,15,25,12,18
Crashing in America_2016-03-21_News.txt,363,959,53,Crashing in America,16881,News,-10,9,22,7,16,20,16,12
Creepy photos show a fake 1950s city filled with mannequins to test nuclear bombs_2016-03-21_Business.txt,68,97,4,Creepy photos show a fake 1950s city filled with mannequins to test nuclear bombs,16881,Business,4,4,3,2,2,6,2,2
Cuba  A Country on the Cusp of Change_2016-03-21_News.txt,133,215,11,Cuba  A Country on the Cusp of Change,16881,News,9,1,9,0,4,2,1,6
