"","Text","Types","Tokens","Sentences","Article","Date","Category","Trump","Clinton","Cruz","Sanders","Kasich","Sentiment"
"10 Backyards Built for Fun _2016-4-15_News.txt","10 Backyards Built for Fun _2016-4-15_News.txt",0,0,0,"10 Backyards Built for Fun ",2016-04-15,"News",0,0,0,0,0,0
"10 Healthy International Breakfasts_2016-03-21_News.txt","10 Healthy International Breakfasts_2016-03-21_News.txt",498,955,67,"10 Healthy International Breakfasts",2016-03-21,"News",0,0,0,0,0,34
"10 Inspired Super Bowl Recipes_2016-02-03_Cooking.txt","10 Inspired Super Bowl Recipes_2016-02-03_Cooking.txt",178,257,21,"10 Inspired Super Bowl Recipes",2016-02-03,"Cooking",0,0,0,0,0,26
"10 Questions Heading Into Spring Training_2016-02-19_Sports.txt","10 Questions Heading Into Spring Training_2016-02-19_Sports.txt",644,1766,102,"10 Questions Heading Into Spring Training",2016-02-19,"Sports",0,0,0,0,0,54
"10 Things to Know for Monday_2016-04-18_news.txt","10 Things to Know for Monday_2016-04-18_news.txt",268,385,36,"10 Things to Know for Monday",2016-04-18,"news",0,0,0,0,0,10
"10 Ways Hillary Clinton Could Reach Out To Young Voters _2016-4-15_News.txt","10 Ways Hillary Clinton Could Reach Out To Young Voters _2016-4-15_News.txt",0,0,0,"10 Ways Hillary Clinton Could Reach Out To Young Voters ",2016-04-15,"News",0,0,0,0,0,0
"10 Ways to Celebrate Stress Awareness Day_2016-03-21_News.txt","10 Ways to Celebrate Stress Awareness Day_2016-03-21_News.txt",422,919,65,"10 Ways to Celebrate Stress Awareness Day",2016-03-21,"News",0,0,0,0,0,19
"100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success_2016-03-21_News.txt","100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success_2016-03-21_News.txt",565,1312,51,"100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success",2016-03-21,"News",0,0,0,0,0,65
"100 Meters, 100 Years Old  Ida Keeling Breaks Racing Record _2016-5-02_News.txt","100 Meters, 100 Years Old  Ida Keeling Breaks Racing Record _2016-5-02_News.txt",210,334,22,"100 Meters, 100 Years Old  Ida Keeling Breaks Racing Record ",2016-05-02,"News",0,0,0,0,0,19
"11 US jurisdictions pledge to slash jail population in exchange for funding_2016-04-13_News.txt","11 US jurisdictions pledge to slash jail population in exchange for funding_2016-04-13_News.txt",489,1011,35,"11 US jurisdictions pledge to slash jail population in exchange for funding",2016-04-13,"News",0,0,0,0,0,-27
"12 Cost-Effective Ways to Increase Traffic to Your Company Website_2016-03-21_News.txt","12 Cost-Effective Ways to Increase Traffic to Your Company Website_2016-03-21_News.txt",415,866,65,"12 Cost-Effective Ways to Increase Traffic to Your Company Website",2016-03-21,"News",0,0,0,0,0,42
"12 Healthy Ish Holiday Cookies_2015-12-14_Cooking.txt","12 Healthy Ish Holiday Cookies_2015-12-14_Cooking.txt",172,298,25,"12 Healthy Ish Holiday Cookies",2015-12-14,"Cooking",0,0,0,0,0,15
"12 ways Twitter changed our lives_2016-03-21_News.txt","12 ways Twitter changed our lives_2016-03-21_News.txt",776,1742,115,"12 ways Twitter changed our lives",2016-03-21,"News",0,0,0,0,0,-4
"14 die when bus carrying international students crashes_2016-03-20_News.txt","14 die when bus carrying international students crashes_2016-03-20_News.txt",87,162,11,"14 die when bus carrying international students crashes",2016-03-20,"News",0,0,0,0,0,-16
"15 wingnut celebrities who are all in for Donald Trump_2016-04-13_News.txt","15 wingnut celebrities who are all in for Donald Trump_2016-04-13_News.txt",0,0,0,"15 wingnut celebrities who are all in for Donald Trump",2016-04-13,"News",0,0,0,0,0,0
"15-Year-Old Shot During Party, Taken to Hospital in Stable Condition - KIII TV3_2016-04-17_news.txt","15-Year-Old Shot During Party, Taken to Hospital in Stable Condition - KIII TV3_2016-04-17_news.txt",105,190,11,"15-Year-Old Shot During Party, Taken to Hospital in Stable Condition - KIII TV3",2016-04-17,"news",0,0,0,0,0,-11
"16 Fresh Super Bowl Recipes_2016-02-03_Cooking.txt","16 Fresh Super Bowl Recipes_2016-02-03_Cooking.txt",432,946,112,"16 Fresh Super Bowl Recipes",2016-02-03,"Cooking",0,0,0,0,0,70
"19 Yemeni Jews Arrive in Israel Ending Secret Rescue Operation_2016-03-21_News.txt","19 Yemeni Jews Arrive in Israel Ending Secret Rescue Operation_2016-03-21_News.txt",311,649,24,"19 Yemeni Jews Arrive in Israel Ending Secret Rescue Operation",2016-03-21,"News",0,0,0,0,0,-7
"2 Americans found dead in Jamaica _2016-5-03_News.txt","2 Americans found dead in Jamaica _2016-5-03_News.txt",361,804,51,"2 Americans found dead in Jamaica ",2016-05-03,"News",0,0,0,0,0,2
"2015 Saw A Decrease In Religious Freedom Around The World, Says Annual Report _2016-5-02_News.txt","2015 Saw A Decrease In Religious Freedom Around The World, Says Annual Report _2016-5-02_News.txt",246,450,18,"2015 Saw A Decrease In Religious Freedom Around The World, Says Annual Report ",2016-05-02,"News",0,0,0,0,0,-3
"2016 National Geographic Travel Photographer of the Year Contest _2016-5-03_News.txt","2016 National Geographic Travel Photographer of the Year Contest _2016-5-03_News.txt",61,77,4,"2016 National Geographic Travel Photographer of the Year Contest ",2016-05-03,"News",0,0,0,0,0,12
"2016 SXSW Free Music Torrents   Radio_2016-03-16_Sports.txt","2016 SXSW Free Music Torrents   Radio_2016-03-16_Sports.txt",78,119,6,"2016 SXSW Free Music Torrents   Radio",2016-03-16,"Sports",0,0,0,0,0,0
"3 Charged in Shooting Outside Police Station Set for Court_2016-04-13_News.txt","3 Charged in Shooting Outside Police Station Set for Court_2016-04-13_News.txt",211,411,20,"3 Charged in Shooting Outside Police Station Set for Court",2016-04-13,"News",0,0,0,0,0,-17
"3 Reasons Silence Is Actually Golden_2016-03-21_News.txt","3 Reasons Silence Is Actually Golden_2016-03-21_News.txt",37,40,2,"3 Reasons Silence Is Actually Golden",2016-03-21,"News",0,0,0,0,0,0
"32,000 sign up for naked eatery _2016-5-03_News.txt","32,000 sign up for naked eatery _2016-5-03_News.txt",82,114,6,"32,000 sign up for naked eatery ",2016-05-03,"News",0,0,0,0,0,4
"370 years time served -- wrongfully _2016-5-03_News.txt","370 years time served -- wrongfully _2016-5-03_News.txt",576,1306,72,"370 years time served -- wrongfully ",2016-05-03,"News",0,0,0,0,0,-11
"4 US Senators meet King Salman ahead of Obama visit..._2016-03-21_News.txt","4 US Senators meet King Salman ahead of Obama visit..._2016-03-21_News.txt",111,158,12,"4 US Senators meet King Salman ahead of Obama visit...",2016-03-21,"News",0,0,0,0,0,1
"5 Practical Tips to Keep Your Aging Parent Safe Behind the Wheel _2016-4-15_News.txt","5 Practical Tips to Keep Your Aging Parent Safe Behind the Wheel _2016-4-15_News.txt",0,0,0,"5 Practical Tips to Keep Your Aging Parent Safe Behind the Wheel ",2016-04-15,"News",0,0,0,0,0,0
"5 Practical Tips to Keep Your Aging Parent Safe Behind the Wheel_2016-04-15_news.txt","5 Practical Tips to Keep Your Aging Parent Safe Behind the Wheel_2016-04-15_news.txt",0,0,0,"5 Practical Tips to Keep Your Aging Parent Safe Behind the Wheel",2016-04-15,"news",0,0,0,0,0,0
"5 things to start your day_2016-04-18_news.txt","5 things to start your day_2016-04-18_news.txt",374,612,70,"5 things to start your day",2016-04-18,"news",1,1,0,0,0,-5
"5 things you need to know Wednesday_2016-04-13_News.txt","5 things you need to know Wednesday_2016-04-13_News.txt",476,1078,63,"5 things you need to know Wednesday",2016-04-13,"News",0,0,0,0,0,23
"5 Tips for Balanced Eating   Vegan Chocolate Cake_2016-02-11_Cooking.txt","5 Tips for Balanced Eating   Vegan Chocolate Cake_2016-02-11_Cooking.txt",547,1406,77,"5 Tips for Balanced Eating   Vegan Chocolate Cake",2016-02-11,"Cooking",0,0,0,0,0,37
"5 Valentines Day Date Menus_2016-02-09_Cooking.txt","5 Valentines Day Date Menus_2016-02-09_Cooking.txt",358,685,59,"5 Valentines Day Date Menus",2016-02-09,"Cooking",0,0,0,0,0,5
"5 worst right-wing moments of the week  Jeffrey Lord continues his Trump apology tour_2016-03-21_News.txt","5 worst right-wing moments of the week  Jeffrey Lord continues his Trump apology tour_2016-03-21_News.txt",366,696,39,"5 worst right-wing moments of the week  Jeffrey Lord continues his Trump apology tour",2016-03-21,"News",1,0,0,0,0,-1
"5 years ago the US killed Osama bin Laden. Did it matter  - CNN _2016-5-02_News.txt","5 years ago the US killed Osama bin Laden. Did it matter  - CNN _2016-5-02_News.txt",570,1279,53,"5 years ago the US killed Osama bin Laden. Did it matter  - CNN ",2016-05-02,"News",0,0,0,0,0,-44
"5-day week for Tata Starbucks baristas _2016-5-02_News.txt","5-day week for Tata Starbucks baristas _2016-5-02_News.txt",261,435,17,"5-day week for Tata Starbucks baristas ",2016-05-02,"News",0,0,0,0,0,8
"6 Salad Dressings to Know by Heart  Essential Recipes from The Kitchn_2015-03-19_Cooking.txt","6 Salad Dressings to Know by Heart  Essential Recipes from The Kitchn_2015-03-19_Cooking.txt",33,39,2,"6 Salad Dressings to Know by Heart  Essential Recipes from The Kitchn",2015-03-19,"Cooking",0,0,0,0,0,8
"7 things I wish people understood about being a teacher _2016-5-03_News.txt","7 things I wish people understood about being a teacher _2016-5-03_News.txt",955,2270,144,"7 things I wish people understood about being a teacher ",2016-05-03,"News",0,0,0,0,0,-9
"7 Things To Know About Buying The Right Olive Oil_2016-03-21_News.txt","7 Things To Know About Buying The Right Olive Oil_2016-03-21_News.txt",474,1018,77,"7 Things To Know About Buying The Right Olive Oil",2016-03-21,"News",0,0,0,0,0,67
"72-year-old lost in wilderness for 9 days shares story of survival - 11alive.com_2016-04-13_News.txt","72-year-old lost in wilderness for 9 days shares story of survival - 11alive.com_2016-04-13_News.txt",290,653,47,"72-year-old lost in wilderness for 9 days shares story of survival - 11alive.com",2016-04-13,"News",0,0,0,0,0,18
"72-year-old lost in wilderness for 9 days shares story of survival - KENS5.com_2016-04-13_News.txt","72-year-old lost in wilderness for 9 days shares story of survival - KENS5.com_2016-04-13_News.txt",290,653,47,"72-year-old lost in wilderness for 9 days shares story of survival - KENS5.com",2016-04-13,"News",0,0,0,0,0,18
"81-Year-Old Man Exonerated of Murdering Crown Heights Artist After 50 Years - DNAinfo _2016-5-02_News.txt","81-Year-Old Man Exonerated of Murdering Crown Heights Artist After 50 Years - DNAinfo _2016-5-02_News.txt",286,541,29,"81-Year-Old Man Exonerated of Murdering Crown Heights Artist After 50 Years - DNAinfo ",2016-05-02,"News",0,0,0,0,0,-35
"9 questions about Cuba you were too embarrassed to ask_2016-03-21_News.txt","9 questions about Cuba you were too embarrassed to ask_2016-03-21_News.txt",1033,3297,149,"9 questions about Cuba you were too embarrassed to ask",2016-03-21,"News",0,1,0,0,0,-11
"A 'Tough Decision'  Puerto Rican Governor Says Island Will Miss Debt Payment _2016-5-02_News.txt","A 'Tough Decision'  Puerto Rican Governor Says Island Will Miss Debt Payment _2016-5-02_News.txt",159,251,18,"A 'Tough Decision'  Puerto Rican Governor Says Island Will Miss Debt Payment ",2016-05-02,"News",0,0,0,0,0,-13
"A 20-Year Journey to Gratitude Love and Resilience -- How My Mothers Murder Made Me a Better Man_2016-03-21_News.txt","A 20-Year Journey to Gratitude Love and Resilience -- How My Mothers Murder Made Me a Better Man_2016-03-21_News.txt",644,1901,106,"A 20-Year Journey to Gratitude Love and Resilience -- How My Mothers Murder Made Me a Better Man",2016-03-21,"News",0,0,0,0,0,28
"A 60-year-old Christian woman was caned in Indonesia for breaking sharia law_2016-04-13_News.txt","A 60-year-old Christian woman was caned in Indonesia for breaking sharia law_2016-04-13_News.txt",214,349,17,"A 60-year-old Christian woman was caned in Indonesia for breaking sharia law",2016-04-13,"News",0,0,0,0,0,-9
"A big night for Trump Clinton and Kasich is Rubios last_2016-03-16_Politics.txt","A big night for Trump Clinton and Kasich is Rubios last_2016-03-16_Politics.txt",422,964,41,"A big night for Trump Clinton and Kasich is Rubios last",2016-03-16,"Politics",1,1,1,1,1,14
"A Black Man Described by a Juror as a 'Nigger' Is Scheduled to Get Executed Tuesday_2016-04-12_News.txt","A Black Man Described by a Juror as a 'Nigger' Is Scheduled to Get Executed Tuesday_2016-04-12_News.txt",405,878,43,"A Black Man Described by a Juror as a 'Nigger' Is Scheduled to Get Executed Tuesday",2016-04-12,"News",0,0,0,0,0,-56
"A Bong of One's Own  A Brief History of Women and Weed_2016-04-11_News.txt","A Bong of One's Own  A Brief History of Women and Weed_2016-04-11_News.txt",591,1194,61,"A Bong of One's Own  A Brief History of Women and Weed",2016-04-11,"News",0,0,0,0,0,25
"A British Airways Airbus Got Hit By a Suspected Drone While Landing at Heathrow_2016-04-18_news.txt","A British Airways Airbus Got Hit By a Suspected Drone While Landing at Heathrow_2016-04-18_news.txt",86,121,7,"A British Airways Airbus Got Hit By a Suspected Drone While Landing at Heathrow",2016-04-18,"news",0,0,0,0,0,-3
"A bruising debate highlights the differences between the Democratic candidates_2016-04-15_Politics.txt","A bruising debate highlights the differences between the Democratic candidates_2016-04-15_Politics.txt",445,785,34,"A bruising debate highlights the differences between the Democratic candidates",2016-04-15,"Politics",1,1,0,1,0,-1
"A butchers 6 secrets to save money on meat _2016-5-02_News.txt","A butchers 6 secrets to save money on meat _2016-5-02_News.txt",583,1506,91,"A butchers 6 secrets to save money on meat ",2016-05-02,"News",0,0,0,0,0,27
"A Campus Outlier_2016-03-21_News.txt","A Campus Outlier_2016-03-21_News.txt",17,20,2,"A Campus Outlier",2016-03-21,"News",0,0,0,0,0,-2
"A case of surprise unanimity at the Supreme Court over voting rights_2016-04-11_Politics.txt","A case of surprise unanimity at the Supreme Court over voting rights_2016-04-11_Politics.txt",399,810,25,"A case of surprise unanimity at the Supreme Court over voting rights",2016-04-11,"Politics",0,0,0,0,0,15
"A dramatic showdown looms for the Democrats in New York_2016-04-14_Politics.txt","A dramatic showdown looms for the Democrats in New York_2016-04-14_Politics.txt",402,775,29,"A dramatic showdown looms for the Democrats in New York",2016-04-14,"Politics",1,1,1,1,1,28
"A Europe of Donald Trumps  _2016-5-03_News.txt","A Europe of Donald Trumps  _2016-5-03_News.txt",731,1443,57,"A Europe of Donald Trumps  ",2016-05-03,"News",1,0,0,0,0,5
"A Fungus Is Wiping Out Australias Unique Frogs_2016-04-13_News.txt","A Fungus Is Wiping Out Australias Unique Frogs_2016-04-13_News.txt",0,0,0,"A Fungus Is Wiping Out Australias Unique Frogs",2016-04-13,"News",0,0,0,0,0,0
"A hole punched through history_2016-04-07_News.txt","A hole punched through history_2016-04-07_News.txt",336,754,40,"A hole punched through history",2016-04-07,"News",0,0,0,0,0,1
"A Kings-Ducks playoff matchup is becoming a longshot_2016-04-17_news.txt","A Kings-Ducks playoff matchup is becoming a longshot_2016-04-17_news.txt",370,782,44,"A Kings-Ducks playoff matchup is becoming a longshot",2016-04-17,"news",0,0,0,0,0,-19
"A Lasting Legacy for Ambassador Christopher Stevens_2016-03-21_News.txt","A Lasting Legacy for Ambassador Christopher Stevens_2016-03-21_News.txt",352,722,28,"A Lasting Legacy for Ambassador Christopher Stevens",2016-03-21,"News",0,0,0,0,0,35
"A Libertarian Operatives Advice for the Next President_2016-04-18_Politics.txt","A Libertarian Operatives Advice for the Next President_2016-04-18_Politics.txt",113,164,7,"A Libertarian Operatives Advice for the Next President",2016-04-18,"Politics",0,0,0,0,0,7
"A look at the Arizona and Utah primaries_2016-03-21_Politics.txt","A look at the Arizona and Utah primaries_2016-03-21_Politics.txt",28,30,4,"A look at the Arizona and Utah primaries",2016-03-21,"Politics",0,0,1,0,0,-2
